"대전광역시","총인구수 (명)",46849,41868,28060,15660,7247,2454,616,225,49748,42739,29917,16789,7765,2806,652,235,52731,43260,31666,18261,8452,3012,687,260,56188,43897,32239,19856,9149,3192,726,281,57891,43716,34059,21527,9957,3309,801,308,60966,43704,37540,22849,10753,3672,869,314,62413,46300,38456,24428,11626,3995,993,319,66595,48720,38793,26164,12689,4350,1047,333,72733,51961,39359,26676,13843,4773,1068,371,79294,53290,39100,28193,15006,5086,1069,169
"대전광역시","남자인구수 (명)",22317,18528,11005,4990,1998,626,140,50,23956,19010,11942,5458,2191,700,137,53,25561,19421,12852,6164,2331,729,162,58,27267,19865,13245,6877,2537,755,183,62,28049,20021,14222,7561,2750,789,193,73,29543,20206,15908,8310,3088,890,193,79,30314,21592,16362,9060,3447,978,210,73,32179,22852,16630,9885,3871,1027,211,81,35018,24410,17099,10173,4312,1151,216,89,38168,24975,17164,10987,4760,1202,203,26
"대전광역시","여자인구수 (명)",24532,23340,17055,10670,5249,1828,476,175,25792,23729,17975,11331,5574,2106,515,182,27170,23839,18814,12097,6121,2283,525,202,28921,24032,18994,12979,6612,2437,543,219,29842,23695,19837,13966,7207,2520,608,235,31423,23498,21632,14539,7665,2782,676,235,32099,24708,22094,15368,8179,3017,783,246,34416,25868,22163,16279,8818,3323,836,252,37715,27551,22260,16503,9531,3622,852,282,41126,28315,21936,17206,10246,3884,866,143
"울산광역시","총인구수 (명)",30532,25179,15593,8701,4025,1308,296,102,33045,26381,16616,9299,4303,1486,282,109,35584,27048,17737,10111,4736,1608,298,128,39164,27014,18803,10995,5016,1729,345,139,41855,27464,19897,11853,5361,1813,387,138,45188,28279,22165,12626,5804,1971,447,153,47601,30625,23257,13404,6250,2115,509,158,51311,33079,23867,14389,6833,2394,534,158,57226,36298,23870,15164,7548,2484,602,175,62475,38693,24331,16051,8068,2673,603,67
"울산광역시","남자인구수 (명)",15180,11292,5664,2384,757,224,46,14,16623,12039,6218,2677,835,241,48,17,18163,12374,6898,3067,957,259,52,25,20035,12536,7432,3434,1090,275,68,26,21333,13007,8126,3787,1182,287,67,28,22981,13616,9351,4103,1372,306,68,28,24012,14964,10019,4442,1569,333,78,32,25921,16375,10326,4994,1786,387,79,31,28580,18018,10557,5471,2032,451,82,35,31134,19120,10990,5994,2224,490,78,4
"울산광역시","여자인구수 (명)",15352,13887,9929,6317,3268,1084,250,88,16422,14342,10398,6622,3468,1245,234,92,17421,14674,10839,7044,3779,1349,246,103,19129,14478,11371,7561,3926,1454,277,113,20522,14457,11771,8066,4179,1526,320,110,22207,14663,12814,8523,4432,1665,379,125,23589,15661,13238,8962,4681,1782,431,126,25390,16704,13541,9395,5047,2007,455,127,28646,18280,13313,9693,5516,2033,520,140,31341,19573,13341,10057,5844,2183,525,63
"세종특별자치시","총인구수 (명)",4556,5064,3850,2263,1007,352,83,39,4776,5078,4028,2438,1104,397,97,40,5418,5294,4394,2786,1295,465,91,34,6662,5637,4714,3178,1540,541,93,34,7446,5763,5030,3501,1718,576,114,49,8550,6040,5670,3826,1942,636,138,49,9492,6622,5911,4063,2145,736,155,54,10624,7437,6008,4372,2392,882,181,53,12130,8276,6116,4429,2680,994,206,50,13816,8733,6042,4665,2892,1071,217,27
"세종특별자치시","남자인구수 (명)",2109,2195,1542,724,289,88,14,16,2240,2195,1659,786,303,106,14,17,2558,2313,1785,938,344,123,8,10,3219,2460,1916,1077,415,120,13,9,3585,2593,2049,1220,454,122,17,8,4139,2763,2341,1360,513,138,27,6,4588,3127,2476,1465,565,168,36,7,5191,3533,2545,1582,667,199,40,9,5934,3989,2613,1644,771,222,41,10,6767,4230,2640,1751,855,225,38,7
"세종특별자치시","여자인구수 (명)",2447,2869,2308,1539,718,264,69,23,2536,2883,2369,1652,801,291,83,23,2860,2981,2609,1848,951,342,83,24,3443,3177,2798,2101,1125,421,80,25,3861,3170,2981,2281,1264,454,97,41,4411,3277,3329,2466,1429,498,111,43,4904,3495,3435,2598,1580,568,119,47,5433,3904,3463,2790,1725,683,141,44,6196,4287,3503,2785,1909,772,165,40,7049,4503,3402,2914,2037,846,179,20
"경기도","총인구수 (명)",372403,332927,223672,122147,56458,20480,4856,2299,391838,340393,239992,131505,60878,23251,5144,2522,410808,344170,255530,143036,67809,24673,5660,2759,433941,350197,266001,158801,74130,26575,6229,3008,440224,357143,283006,175095,80245,28395,7062,3305,471682,367856,309458,188866,87833,30682,8089,3369,495135,390436,320028,204531,95293,33705,9071,3602,537047,411432,325840,220092,105248,38207,9561,3914,604583,433469,332346,230649,117564,42084,10305,4315,676280,435645,337928,245205,129283,45080,10283,1760
