연번,부처명,세부사업명,본예산(백만원)
250,중소벤처기업부,장애인기업육성,"13,354 "
251,중소벤처기업부,소상공인자영업자를위한생활혁신형기술개발(R&D),"3,962 "
252,중소벤처기업부,소상공인지원(융자),"3,700,000 "
253,중소벤처기업부,소상공인지원인프라,"24,497 "
254,중소벤처기업부,소상공인스마트상점기술보급,"22,000 "
255,중소벤처기업부,기업인력애로센터활용취업지원,"10,013 "
256,중소벤처기업부,연수사업,"26,271 "
257,중소벤처기업부,인력유입인프라조성,"318,209 "
258,중소벤처기업부,중소기업연구인력지원(R&D),"36,815 "
259,중소벤처기업부,재도약지원자금(융자),"250,000 "
260,중소벤처기업부,중소기업재기지원,"14,030 "
261,중소벤처기업부,남북경제협력중소기업육성,198 
262,중소벤처기업부,여성기업육성,"8,819 "
263,중소벤처기업부,중소기업협동조합육성,"16,541 "
264,중소벤처기업부,데이터인프라구축(정보화),"13,425 "
265,중소벤처기업부,공정·품질기술개발(R&D),"48,031 "
266,중소벤처기업부,스마트센서선도프로젝트기술개발,"10,998 "
267,중소벤처기업부,현장수요형스마트공장기술개발(R&D),"9,263 "
268,중소벤처기업부,위기대응지역기업비즈니스센터운영,"6,400 "
269,중소벤처기업부,지역특화산업육성(중기부),"83,588 "
270,중소벤처기업부,지역특화산업육성(세종),"3,291 "
271,중소벤처기업부,지역특화산업육성+(R&D),"122,707 "
272,중소벤처기업부,지역특화산업육성+(R&D)(세종),"3,372 "
273,중소벤처기업부,소공인특화지원,"74,347 "
274,중소벤처기업부,지역특구운영,"1,082 "
275,중소벤처기업부,중소기업혁신바우처지원사업,"52,605 "
276,중소벤처기업부,지역기반로컬크리에이터활성화,"8,800 "
277,중소벤처기업부,창업인프라지원,"74,888 "
278,중소벤처기업부,창업인프라지원(세종),80 
279,중소벤처기업부,창업인프라지원(제주),"1,160 "
280,중소벤처기업부,창업성공패키지,"107,717 "
281,중소벤처기업부,마케팅지원사업,"25,900 "
282,중소벤처기업부,중소기업상용화기술개발사업(R&D)(소부장),"31,100 "
283,중소벤처기업부,창업성장기술개발(R&D)(특별),"29,555 "
284,중소벤처기업부,중소기업기술혁신개발(R&D)(특별),"104,684 "
285,중소벤처기업부,중소기업모태조합출자(일반),"740,000 "
286,중소벤처기업부,소재부품장비전략협력기술개발,"5,013 "
287,중소벤처기업부,연구기반활용플러스,"8,590 "
288,중소벤처기업부,글로벌창업기업기술개발(R&D),"1,301 "
289,중소벤처기업부,현장수요맞춤형방역물품기술개발(R&D),"8,905 "
290,중소벤처기업부,중소기업우수연구개발혁신제품지정및시범구매사업,"1,416 "
291,중소벤처기업부,비대면서비스플랫폼구축,"216,600 "
292,중소벤처기업부,제조데이터공동활용플랫폼기술개발(R&D),"4,544 "
293,중소벤처기업부,산업단지대개조지역기업R&D,"9,000 "
294,중소벤처기업부,사회적경제기업성장집중지원,"1,925 "
295,중소벤처기업부,신용보증기금출연(특별),"60,000 "
296,중소벤처기업부,공공구매제도운영,"6,836 "
297,특허청,IP-R&D전략지원(R&D),"40,352 "
298,특허청,모태조합출자,"20,000 "
299,특허청,스타트업지식재산바우처,"1,686 "
300,특허청,여성발명진흥,"1,696 "
301,특허청,지식재산기반창업촉진,"11,770 "
302,특허청,지식재산창출지원,"19,026 "
303,해양수산부,수산산업창업투자지원,"4,750 "
304,해양수산부,수산식품산업기술개발(R&D),"8,950 "
305,해양수산부,우수수산물지원(융자),"132,401 "
306,해양수산부,수산물수매지원(융자),"70,389 "
307,해양수산부,해양모태펀드,"10,000 "
308,해양수산부,해양산업수요기술개발사업(R&D),"14,060 "
309,해양수산부,해양수산신산업육성및기업투자유치지원,"12,601 "
310,행정안전부,재난안전산업육성지원,"4,830 "
311,환경부,온실가스관리인프라구축,"51,932 "
312,환경부,물산업진흥및물기업육성,"6,030 "
313,환경부,재활용저해제품순환이용성개선기술개발사업(R&D),"8,386 "
314,환경부,화학물질관리체계선진화,"62,155 "
315,환경부,환경산업수출기반육성지원,"21,640 "
316,환경부,미래환경산업투자펀드,"30,000 "
317,환경부,중소환경기업사업화지원사업,"89,730 "
318,환경부,글로벌탑환경기술개발사업,"8,918 "
319,환경부,환경시설재난재해대응기술개발사업,"5,511 "
320,환경부,미래환경산업육성융자,"311,078 "
321,환경부,사업장미세먼지관리,"505,561 "
322,환경부,생활주변미세먼지관리사업,"72,761 "
323,환경부,유망녹색기업기술혁신개발사업,"9,223 "
